"X","Y","city","price"
139.744814999713,35.690140000161,"千代田",3600000
139.737519999648,35.6811999997803,"千代田",2260000
139.732873059644,35.6881411103241,"千代田",4390000
139.746476833539,35.6986351598849,"千代田",1740000
139.74615193996,35.6960799997924,"千代田",3340000
139.740781669838,35.6806480597603,"千代田",2050000
139.740773059729,35.6882741704168,"千代田",3400000
139.760505172876,35.6906588181501,"千代田",14300000
139.763936939938,35.6810900001036,"千代田",36800000
139.762826940011,35.6916969397622,"千代田",1480000
139.774801940058,35.6958563896608,"千代田",3330000
139.770958889641,35.7027830597905,"千代田",2800000
139.768990000288,35.7021230599314,"千代田",1320000
139.767206939649,35.6949680600281,"千代田",6040000
139.752304999776,35.7010719404179,"千代田",3480000
139.743853059671,35.6847830597906,"千代田",4100000
139.746753060306,35.6942069403981,"千代田",3630000
139.746538060283,35.7011488900094,"千代田",4380000
139.750461109893,35.6708497203385,"千代田",15100000
139.775828060217,35.6930300003344,"千代田",1200000
139.738706940173,35.674824999874,"千代田",8510000
139.737103059559,35.6858680603628,"千代田",4700000
139.75938750443,35.694965786542,"千代田",1740000
139.756350000153,35.6947780602595,"千代田",1730000
139.75251111,35.6999611104171,"千代田",1530000
139.762892666064,35.6774181095583,"千代田",26900000
139.749703889723,35.7018138900991,"千代田",3880000
139.767108060089,35.6849180597209,"千代田",29100000
139.773951110356,35.6992900003334,"千代田",9580000
139.740558059707,35.6774038903774,"千代田",2750000
139.772454130354,35.6912151558549,"千代田",4210000
139.759143059705,35.6728761096449,"千代田",21500000
139.761979999877,35.6997611101872,"千代田",2600000
139.757401939848,35.696173059839,"千代田",5750000
139.740166109978,35.6938349996856,"千代田",2330000
139.735675777915,35.6842425213754,"千代田",6720000
139.765363889732,35.6870080598743,"千代田",27200000
139.768966109798,35.6918638899068,"千代田",3050000
139.73815193976,35.6920300000846,"千代田",6330000
139.766456940136,35.6932880598962,"千代田",1890000
139.758666109653,35.6998730595942,"千代田",1820000
139.780998890387,35.6972050004106,"千代田",1120000
139.739521939986,35.6829880597513,"千代田",3180000
139.772174999677,35.697280000272,"千代田",5890000
139.753361939702,35.6713169397252,"千代田",13700000
139.772461109992,35.7040288897216,"千代田",1330000
139.740876110344,35.6867688896727,"千代田",3030000
139.764631110438,35.6929277797934,"千代田",5750000
139.761373890093,35.693300000195,"千代田",3950000
139.764298890082,35.6956702803593,"千代田",1650000
139.739973889783,35.6913330596731,"千代田",1270000
139.779068890417,35.698533059853,"千代田",1790000
139.756326939737,35.6701977802036,"千代田",14500000
139.765358890401,35.6894991702506,"千代田",4980000
139.760316110201,35.6728600000891,"千代田",4230000
139.772941109645,35.6928961101675,"千代田",2180000
139.737946940199,35.680539169847,"千代田",3390000
139.734048889944,35.6830349998655,"千代田",2010000
139.769045000127,35.7009811097906,"千代田",2420000
139.759287216532,35.6969168450365,"千代田",862000
139.783610000002,35.6618161104253,"中央",1110000
139.777653059841,35.6679830602702,"中央",1930000
139.775276110304,35.6590088901483,"中央",1500000
139.778085118434,35.6628255931268,"中央",1500000
139.786540192676,35.6639149392232,"中央",987000
139.786321939806,35.6651919396564,"中央",2260000
139.786166939853,35.6667580604363,"中央",1460000
139.775632178882,35.6533587123349,"中央",1220000
139.789476110434,35.6825449997521,"中央",1450000
139.770196109863,35.6708761100446,"中央",3380000
139.76338306008,35.6705588903807,"中央",29300000
139.773346110335,35.6769849996581,"中央",8000000
139.767336940248,35.6724219403205,"中央",16700000
139.770543060214,35.6793538903699,"中央",22900000
139.784674999652,35.6899788902138,"中央",2210000
139.771388059611,35.6817288901763,"中央",8680000
139.773616110195,35.6791219399258,"中央",8500000
139.782674720362,35.6856049996712,"中央",3240000
139.766134999931,35.6634111102347,"中央",2820000
139.777698890192,35.6806430604291,"中央",5900000
139.778891939811,35.6905849999979,"中央",3170000
139.776223060446,35.6579738900831,"中央",2250000
139.774098059578,35.6723738904428,"中央",2430000
139.782548059845,35.683146110205,"中央",2600000
139.773966110148,35.6891399999112,"中央",6100000
139.783119656347,35.678507489829,"中央",2610000
139.763996940007,35.6726149995827,"中央",29600000
139.77095193968,35.6674175000178,"中央",2330000
139.78486500032,35.6861461100551,"中央",2000000
139.781193890386,35.6754611101423,"中央",2430000
139.765223060396,35.6718238902605,"中央",55700000
139.763195000149,35.669066110213,"中央",39900000
139.778271395009,35.6786389374372,"中央",2410000
